,FraudLabel,address-zip5-homephone_count90_date
833507,0,1
833508,0,1
833509,0,2
833510,0,1
833511,0,1
833512,0,2
833513,0,1
833514,0,1
833515,0,1
833516,0,1
833517,0,2
833518,0,1
833519,0,1
833520,0,1
833521,0,1
833522,0,1
833523,0,1
833524,0,1
833525,0,1
833526,0,1
833527,0,1
833528,0,1
833529,0,1
833530,0,1
833531,0,1
833532,0,1
833533,0,1
833534,0,1
833535,0,1
833536,0,1
833537,0,1
833538,0,1
833539,0,1
833540,0,1
833541,0,1
833542,0,1
833543,0,2
833544,0,1
833545,0,1
833546,0,1
833547,0,1
833548,0,3
833549,0,1
833550,0,1
833551,0,1
833552,0,1
833553,0,1
833554,0,1
833555,0,1
833556,0,1
833557,0,1
833558,0,1
833559,0,1
833560,0,1
833561,0,1
833562,0,1
833563,0,1
833564,0,1
833565,0,1
833566,0,1
833567,0,1
833568,0,1
833569,0,1
833570,0,1
833571,0,1
833572,0,2
833573,0,1
833574,0,1
833575,0,1
833576,0,1
833577,0,1
833578,0,1
833579,0,2
833580,1,1
833581,0,1
833582,0,1
833583,0,1
833584,0,1
833585,0,1
833586,0,1
833587,0,1
833588,0,1
833589,0,1
833590,0,1
833591,0,1
833592,0,1
833593,0,1
833594,0,1
833595,0,1
833596,0,1
833597,0,1
833598,0,1
833599,0,1
833600,0,1
833601,0,1
833602,0,1
833603,0,1
833604,0,1
833605,0,1
833606,0,2
833607,0,1
833608,0,1
833609,0,1
833610,0,1
833611,0,1
833612,0,1
833613,0,1
833614,0,1
833615,0,1
833616,0,1
833617,0,1
833618,0,1
833619,0,1
833620,0,1
833621,0,1
833622,0,1
833623,0,1
833624,0,1
833625,0,1
833626,0,2
833627,0,1
833628,0,1
833629,0,1
833630,0,2
833631,0,1
833632,0,1
833633,0,1
833634,0,1
833635,0,2
833636,0,1
833637,0,1
833638,0,1
833639,0,1
833640,0,1
833641,0,1
833642,0,1
833643,0,1
833644,0,1
833645,0,1
833646,0,1
833647,0,1
833648,0,1
833649,0,2
833650,0,1
833651,0,1
833652,0,1
833653,0,1
833654,0,1
833655,0,1
833656,0,1
833657,0,2
833658,0,1
833659,0,1
833660,0,1
833661,0,1
833662,0,1
833663,0,1
833664,0,1
833665,0,1
833666,1,10
833667,0,1
833668,0,1
833669,0,1
833670,0,1
833671,0,1
833672,0,1
833673,0,1
833674,0,1
833675,0,1
833676,0,1
833677,0,1
833678,0,2
833679,0,2
833680,0,1
833681,0,1
833682,0,1
833683,0,1
833684,0,1
833685,0,1
833686,0,1
833687,0,1
833688,0,2
833689,0,1
833690,0,1
833691,0,1
833692,0,1
833693,0,1
833694,0,1
833695,0,1
833696,0,1
833697,0,1
833698,0,1
833699,0,1
833700,0,1
833701,0,1
833702,0,1
833703,0,1
833704,0,1
833705,0,1
833706,0,1
833707,0,1
833708,0,1
833709,0,1
833710,0,1
833711,0,1
833712,0,1
833713,0,1
833714,0,1
833715,0,1
833716,0,1
833717,0,1
833718,0,1
833719,1,11
833720,0,2
833721,0,1
833722,0,1
833723,0,1
833724,0,1
833725,0,1
833726,0,2
833727,0,1
833728,0,1
833729,0,1
833730,0,1
833731,0,1
833732,0,1
833733,0,1
833734,0,1
833735,0,2
833736,0,1
833737,0,1
833738,0,1
833739,0,1
833740,0,1
833741,0,1
833742,0,1
833743,0,1
833744,0,1
833745,0,1
833746,0,1
833747,0,1
833748,0,1
833749,0,1
833750,0,1
833751,0,1
833752,0,1
833753,0,1
833754,0,1
833755,0,1
833756,0,1
833757,0,1
833758,0,1
833759,0,1
833760,0,1
833761,0,1
833762,0,1
833763,0,1
833764,0,1
833765,0,1
833766,0,1
833767,0,1
833768,0,1
833769,0,2
833770,0,1
833771,0,1
833772,0,1
833773,0,1
833774,0,1
833775,0,1
833776,0,2
833777,0,1
833778,0,1
833779,0,1
833780,0,1
833781,0,1
833782,0,1
833783,0,1
833784,0,1
833785,0,1
833786,0,1
833787,0,2
833788,0,1
833789,0,1
833790,0,1
833791,0,1
833792,0,1
833793,0,1
833794,0,1
833795,0,1
833796,0,1
833797,0,1
833798,0,1
833799,0,1
833800,0,1
833801,0,1
833802,0,1
833803,0,1
833804,0,1
833805,0,1
833806,0,1
833807,0,1
833808,0,1
833809,0,1
833810,0,1
833811,0,1
833812,1,1
833813,0,1
833814,0,1
833815,0,1
833816,0,1
833817,0,1
833818,0,1
833819,0,1
833820,0,1
833821,0,1
833822,0,1
833823,0,1
833824,0,1
833825,0,1
833826,0,1
833827,0,1
833828,0,2
833829,0,1
833830,0,1
833831,0,1
833832,0,1
833833,0,1
833834,0,1
833835,0,1
833836,0,1
833837,0,1
833838,0,1
833839,0,1
833840,0,1
833841,0,1
833842,0,1
833843,0,1
833844,0,1
833845,0,1
833846,0,1
833847,0,1
833848,0,1
833849,0,1
833850,0,1
833851,0,1
833852,0,1
833853,0,1
833854,0,1
833855,0,1
833856,0,2
833857,0,1
833858,0,1
833859,0,1
833860,0,1
833861,0,1
833862,0,1
833863,0,1
833864,0,1
833865,0,1
833866,0,1
833867,0,2
833868,0,1
833869,0,1
833870,0,1
833871,0,1
833872,0,1
833873,0,1
833874,0,1
833875,0,1
833876,0,1
833877,0,1
833878,0,1
833879,0,1
833880,0,1
833881,0,1
833882,0,1
833883,0,2
833884,0,1
833885,0,1
833886,0,1
833887,0,1
833888,0,1
833889,0,1
833890,0,1
833891,0,1
833892,0,1
833893,0,1
833894,0,1
833895,0,1
833896,0,1
833897,0,1
833898,0,1
833899,0,1
833900,0,1
833901,0,1
833902,0,1
833903,1,1
833904,0,1
833905,0,1
833906,0,1
833907,0,1
833908,0,1
833909,0,1
833910,0,1
833911,0,1
833912,0,1
833913,0,1
833914,0,3
833915,0,1
833916,0,1
833917,0,1
833918,0,1
